epoch,loss
1,5.923237e-04
2,5.173979e-04
3,7.352373e-04
4,9.195236e-04
5,1.055720e-03
6,1.143696e-03
7,1.201874e-03
8,1.256838e-03
9,1.293751e-03
10,1.336293e-03
11,1.372569e-03
12,1.419206e-03
13,1.476575e-03
14,1.534432e-03
15,1.586592e-03
16,1.612657e-03
17,1.645349e-03
18,1.675661e-03
19,1.689518e-03
20,1.704880e-03
21,1.712103e-03
22,1.721959e-03
23,1.743316e-03
24,1.756280e-03
25,1.779386e-03
26,1.801784e-03
27,1.820482e-03
28,1.829567e-03
29,1.848093e-03
30,1.864723e-03
31,1.877524e-03
32,1.892355e-03
33,1.898691e-03
34,1.908902e-03
35,1.919771e-03
36,1.921246e-03
37,1.928386e-03
38,1.934330e-03
39,1.939532e-03
40,1.939875e-03
41,1.942656e-03
42,1.936434e-03
43,1.947545e-03
44,1.943031e-03
45,1.948993e-03
46,1.939197e-03
47,1.936642e-03
48,1.936886e-03
49,1.931993e-03
50,1.929235e-03
51,1.928133e-03
52,1.926974e-03
53,1.924094e-03
54,1.921954e-03
55,1.919366e-03
56,1.914696e-03
57,1.910823e-03
58,1.912089e-03
59,1.904039e-03
60,1.902173e-03
61,1.904173e-03
62,1.894172e-03
63,1.894059e-03
64,1.893399e-03
65,1.894397e-03
66,1.887283e-03
67,1.886400e-03
68,1.880487e-03
69,1.880011e-03
70,1.881621e-03
71,1.876922e-03
72,1.875321e-03
73,1.868202e-03
74,1.866156e-03
75,1.855185e-03
76,1.851255e-03
77,1.842126e-03
78,1.838910e-03
79,1.831375e-03
80,1.829353e-03
81,1.829265e-03
82,1.820756e-03
83,1.813529e-03
84,1.806214e-03
85,1.797901e-03
86,1.793023e-03
87,1.782960e-03
88,1.778477e-03
89,1.775372e-03
90,1.763425e-03
91,1.761249e-03
92,1.748112e-03
93,1.741978e-03
94,1.731021e-03
95,1.725914e-03
96,1.722952e-03
97,1.719817e-03
98,1.714836e-03
99,1.716146e-03
100,1.711292e-03
