epoch,knn_accuracy_train,knn_accuracy_test
20,7.047210e-01,5.823333e-01
40,7.138770e-01,5.820000e-01
60,7.068670e-01,5.810000e-01
80,7.038627e-01,5.680000e-01
100,7.098712e-01,5.730000e-01
120,7.080830e-01,5.716667e-01
140,7.123033e-01,5.610000e-01
160,7.109442e-01,5.803333e-01
180,7.205293e-01,5.823333e-01
200,7.269671e-01,5.976667e-01
220,7.299714e-01,5.786667e-01
240,7.254649e-01,5.736667e-01
260,7.247496e-01,5.873333e-01
280,7.291845e-01,5.923333e-01
300,7.352647e-01,5.996667e-01
320,7.322604e-01,5.973333e-01
340,7.348355e-01,6.036667e-01
360,7.364807e-01,6.080000e-01
380,7.384120e-01,6.250000e-01
400,7.421316e-01,6.093333e-01
420,7.459943e-01,6.133333e-01
440,7.547926e-01,6.190000e-01
460,7.484263e-01,6.163333e-01
480,7.412732e-01,6.153333e-01
500,7.484263e-01,6.240000e-01
520,7.554363e-01,6.210000e-01
540,7.567954e-01,6.456667e-01
560,7.560086e-01,6.360000e-01
580,7.654506e-01,6.530000e-01
600,7.620172e-01,6.490000e-01
620,7.721745e-01,6.613333e-01
640,7.691702e-01,6.560000e-01
660,7.766094e-01,6.620000e-01
680,7.757511e-01,6.620000e-01
700,7.806152e-01,6.743333e-01
720,7.815451e-01,6.743333e-01
740,7.831187e-01,6.723333e-01
