epoch,loss
1,5.852547e-02
2,6.090262e-02
3,1.002420e-01
4,1.241256e-01
5,1.389557e-01
6,1.424655e-01
7,1.443035e-01
8,1.418266e-01
9,1.399912e-01
10,1.397964e-01
11,1.411848e-01
12,1.440262e-01
13,1.484487e-01
14,1.533994e-01
15,1.591708e-01
16,1.643611e-01
17,1.697949e-01
18,1.776378e-01
19,1.834875e-01
20,1.912475e-01
21,1.980162e-01
22,2.042566e-01
23,2.102616e-01
24,2.143381e-01
25,2.200026e-01
26,2.239761e-01
27,2.271815e-01
28,2.315564e-01
29,2.338541e-01
30,2.355445e-01
31,2.365532e-01
32,2.379863e-01
33,2.387524e-01
34,2.393034e-01
35,2.388502e-01
36,2.397147e-01
37,2.388698e-01
38,2.397005e-01
39,2.386062e-01
40,2.386013e-01
41,2.385354e-01
42,2.390756e-01
43,2.374445e-01
44,2.381648e-01
45,2.369314e-01
46,2.378374e-01
47,2.379532e-01
48,2.377872e-01
49,2.374001e-01
50,2.374293e-01
51,2.371399e-01
52,2.367264e-01
53,2.364498e-01
54,2.369274e-01
55,2.362449e-01
56,2.365788e-01
57,2.367505e-01
58,2.368228e-01
59,2.368007e-01
60,2.373229e-01
61,2.365569e-01
62,2.367059e-01
63,2.367315e-01
64,2.377126e-01
65,2.366451e-01
66,2.367829e-01
67,2.371015e-01
68,2.373393e-01
69,2.369327e-01
70,2.361523e-01
71,2.360450e-01
72,2.359595e-01
73,2.354823e-01
74,2.358298e-01
75,2.361311e-01
76,2.347914e-01
77,2.348520e-01
78,2.344903e-01
79,2.335991e-01
80,2.333719e-01
81,2.329523e-01
82,2.326817e-01
83,2.323305e-01
84,2.310197e-01
85,2.299224e-01
86,2.293437e-01
87,2.291824e-01
88,2.273660e-01
89,2.268687e-01
90,2.254516e-01
91,2.244020e-01
92,2.235877e-01
93,2.224878e-01
94,2.216382e-01
95,2.207000e-01
96,2.203353e-01
97,2.193666e-01
98,2.190393e-01
99,2.189338e-01
100,2.179486e-01
