epoch,knn_accuracy
50,2.673611e-01
100,4.435764e-01
150,5.147569e-01
200,5.260417e-01
250,5.060764e-01
300,5.182292e-01
350,5.112847e-01
400,4.939236e-01
450,4.765625e-01
500,4.496528e-01
550,4.227431e-01
600,3.967014e-01
