epoch,knn_accuracy_train,knn_accuracy_test
20,6.393419e-01,4.716667e-01
40,6.666667e-01,5.143333e-01
60,6.327611e-01,4.483333e-01
80,6.279685e-01,4.663333e-01
100,6.112303e-01,4.253333e-01
120,6.056509e-01,4.396667e-01
140,6.136624e-01,4.266667e-01
160,6.096567e-01,4.256667e-01
180,6.204578e-01,4.480000e-01
200,6.486409e-01,4.846667e-01
220,6.620172e-01,5.023333e-01
240,6.646638e-01,4.966667e-01
260,6.653791e-01,5.110000e-01
280,6.714592e-01,5.180000e-01
300,6.732475e-01,5.150000e-01
320,6.751073e-01,5.263333e-01
340,6.791845e-01,5.223333e-01
360,6.860515e-01,5.476667e-01
380,6.924893e-01,5.370000e-01
400,6.934907e-01,5.503333e-01
420,7.073677e-01,5.573333e-01
440,7.130186e-01,5.553333e-01
460,7.047926e-01,5.690000e-01
480,7.137339e-01,5.663333e-01
500,7.173820e-01,5.686667e-01
520,7.237482e-01,5.870000e-01
540,7.236052e-01,5.820000e-01
560,7.245351e-01,5.843333e-01
580,7.226753e-01,5.806667e-01
600,7.389843e-01,6.026667e-01
620,7.380544e-01,6.150000e-01
640,7.327611e-01,6.056667e-01
660,7.404149e-01,6.123333e-01
680,7.376252e-01,6.110000e-01
700,7.429185e-01,6.180000e-01
720,7.434192e-01,6.113333e-01
740,7.536481e-01,6.273333e-01
760,7.478541e-01,6.213333e-01
780,7.528612e-01,6.233333e-01
800,7.567954e-01,6.330000e-01
820,7.563662e-01,6.333333e-01
840,7.648784e-01,6.403333e-01
860,7.638054e-01,6.300000e-01
880,7.678112e-01,6.356667e-01
900,7.626609e-01,6.413333e-01
920,7.716023e-01,6.493333e-01
940,7.660944e-01,6.510000e-01
960,7.720315e-01,6.376667e-01
980,7.683119e-01,6.443333e-01
1000,7.603720e-01,6.503333e-01
