corruption_ratio,L2_all_clean_mean,L2_all_corrupted_mean,L2_all_abs_delta_mean,L2_all_rel_delta_mean,L2_all_rel_delta_median,L2_all_rel_delta_p95,L2_all_rel_delta_p99,L2_corrupted_only_abs_delta_mean,L2_corrupted_only_abs_delta_median,L2_corrupted_only_abs_delta_p95,L2_corrupted_only_abs_delta_p99,L2_corrupted_only_rel_delta_mean,L2_corrupted_only_rel_delta_median,L2_corrupted_only_rel_delta_p95,L2_corrupted_only_rel_delta_p99,L2_num_patches,L2_num_corrupted_patches
0.0,0.03349255928769708,0.03349255928769708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444416,0
0.05,0.03349255928769708,0.035093534514307974,0.0016009753243997693,0.06823200687766075,0.0,0.0,2.1792922842502596,0.03199620386585593,0.03016949776560068,0.07450149606913328,0.08915123894810677,1.363592695593834,0.952283707857132,4.201356282234192,6.503435776233673,444416,22234
0.1,0.03349255928769708,0.03671737277880311,0.0032248133968096225,0.13774819128215313,0.0,0.970376908481121,3.177386281490326,0.032233019415289166,0.030248528495430946,0.07515525676310063,0.09052439793944358,1.3768528825044632,0.9698684185743331,4.271987726688385,6.562965965270996,444416,44460
0.2,0.03349255928769708,0.03989042734727263,0.006397868122439832,0.27400025725364685,0.0,1.8703710675239562,4.298876402378082,0.03199518738314509,0.03010496571660042,0.07545009646564722,0.09099776275455952,1.3702642911672591,0.9649417841434479,4.300587773323059,6.728764653205872,444416,88870
0.3,0.03349255928769708,0.04314028538763523,0.00964772594626993,0.41312606900930404,0.0,2.4492584323883055,4.943068146705627,0.03215517083182931,0.030144437029957772,0.07547479946166277,0.09108634509146213,1.3769107860326768,0.9660675179958343,4.289684472084045,6.788550848960877,444416,133338
