epoch,knn_accuracy_train,knn_accuracy_test
20,6.957797e-01,5.773333e-01
40,6.916309e-01,5.413333e-01
60,6.908441e-01,5.490000e-01
80,6.891273e-01,5.473333e-01
100,6.602289e-01,5.013333e-01
120,6.578684e-01,5.060000e-01
140,6.578684e-01,4.940000e-01
160,6.555079e-01,5.016667e-01
180,6.673820e-01,4.936667e-01
200,6.618741e-01,5.043333e-01
220,6.670243e-01,5.090000e-01
240,6.666667e-01,5.056667e-01
260,6.745351e-01,5.193333e-01
280,6.788269e-01,5.293333e-01
300,6.780401e-01,5.176667e-01
320,6.811159e-01,5.353333e-01
340,6.833333e-01,5.326667e-01
360,6.970672e-01,5.526667e-01
380,6.987124e-01,5.406667e-01
400,7.022175e-01,5.670000e-01
420,7.083691e-01,5.596667e-01
440,7.108011e-01,5.680000e-01
460,7.150930e-01,5.733333e-01
480,7.160229e-01,5.723333e-01
500,7.193133e-01,5.753333e-01
520,7.219599e-01,5.896667e-01
540,7.233906e-01,6.006667e-01
560,7.238197e-01,5.853333e-01
580,7.328326e-01,5.966667e-01
600,7.356223e-01,6.066667e-01
620,7.389843e-01,6.050000e-01
640,7.391273e-01,6.136667e-01
660,7.427754e-01,6.150000e-01
680,7.394134e-01,6.110000e-01
700,7.449928e-01,6.226667e-01
720,7.513591e-01,6.240000e-01
740,7.482117e-01,6.223333e-01
