epoch,loss
1,1.069244e-02
2,9.153787e-03
3,4.645882e-03
4,2.638517e-03
5,2.040548e-03
6,1.740550e-03
7,1.533791e-03
8,1.472342e-03
9,1.561799e-03
10,1.578536e-03
11,1.600498e-03
12,1.654298e-03
13,1.749208e-03
14,1.874526e-03
15,1.933174e-03
16,1.916966e-03
17,1.950366e-03
18,1.945948e-03
19,1.883190e-03
20,1.852974e-03
21,1.823497e-03
22,1.868364e-03
23,1.943341e-03
24,1.910758e-03
25,1.854112e-03
26,1.879635e-03
27,1.884474e-03
28,1.872720e-03
29,1.867113e-03
30,1.743111e-03
31,1.741312e-03
32,1.675088e-03
33,1.670511e-03
34,1.658311e-03
35,1.670536e-03
36,1.656505e-03
37,1.591264e-03
38,1.565972e-03
39,1.571265e-03
40,1.606738e-03
41,1.590352e-03
42,1.593366e-03
43,1.574296e-03
44,1.583615e-03
45,1.564448e-03
46,1.564465e-03
47,1.603577e-03
48,1.620372e-03
49,1.697778e-03
50,1.796963e-03
51,1.813814e-03
52,1.863798e-03
53,1.946764e-03
54,2.009397e-03
55,1.971239e-03
56,2.058781e-03
57,2.094498e-03
58,2.129769e-03
59,2.192486e-03
60,2.216805e-03
61,2.293565e-03
62,2.337937e-03
63,2.402018e-03
64,2.443686e-03
65,2.517445e-03
66,2.585318e-03
67,2.634080e-03
68,2.681363e-03
69,2.743949e-03
70,2.824985e-03
71,2.899600e-03
72,2.959333e-03
73,3.034624e-03
74,3.089637e-03
75,3.168207e-03
76,3.151577e-03
77,3.242124e-03
78,3.314757e-03
79,3.362149e-03
80,3.419382e-03
81,3.538299e-03
82,3.535780e-03
83,3.641007e-03
84,3.669993e-03
85,3.728645e-03
86,3.825013e-03
87,3.876517e-03
88,3.878458e-03
89,3.927175e-03
90,3.960222e-03
91,3.986731e-03
92,4.097817e-03
93,4.136687e-03
94,4.101862e-03
95,4.152266e-03
96,4.272313e-03
97,4.231591e-03
98,4.250560e-03
99,4.354751e-03
100,4.367450e-03
101,4.395470e-03
102,4.433997e-03
103,4.478733e-03
104,4.537152e-03
105,4.516832e-03
106,4.586543e-03
107,4.646841e-03
108,4.622561e-03
109,4.646725e-03
110,4.762280e-03
111,4.750714e-03
112,4.772435e-03
113,4.814719e-03
114,4.812634e-03
115,4.771325e-03
116,4.828994e-03
117,4.825083e-03
118,4.838542e-03
119,4.911189e-03
120,4.946277e-03
121,4.927999e-03
122,4.898529e-03
123,4.932063e-03
124,4.942780e-03
125,4.914416e-03
126,4.963465e-03
127,5.005989e-03
128,5.031302e-03
129,4.999260e-03
130,5.026812e-03
131,5.103437e-03
132,5.034100e-03
133,5.101916e-03
134,5.140114e-03
135,5.101968e-03
136,5.075277e-03
137,5.105516e-03
138,5.092187e-03
139,5.127536e-03
140,5.176185e-03
141,5.113279e-03
142,5.183471e-03
143,5.203967e-03
144,5.150278e-03
145,5.156866e-03
146,5.266508e-03
147,5.205387e-03
148,5.245369e-03
149,5.216563e-03
150,5.220743e-03
151,5.185587e-03
152,5.213621e-03
153,5.232601e-03
154,5.229913e-03
155,5.258476e-03
156,5.242877e-03
157,5.223145e-03
158,5.240985e-03
159,5.264131e-03
160,5.248102e-03
161,5.227701e-03
162,5.179914e-03
163,5.194851e-03
164,5.197827e-03
165,5.197208e-03
166,5.271066e-03
167,5.281446e-03
168,5.224667e-03
169,5.238626e-03
170,5.210378e-03
171,5.329775e-03
172,5.156885e-03
173,5.284966e-03
174,5.256504e-03
175,5.267041e-03
176,5.249231e-03
177,5.192774e-03
178,5.225519e-03
179,5.227427e-03
180,5.186267e-03
181,5.238803e-03
182,5.205738e-03
183,5.145064e-03
184,5.205368e-03
185,5.264510e-03
186,5.306459e-03
187,5.176650e-03
188,5.235094e-03
189,5.231193e-03
190,5.195109e-03
191,5.193343e-03
192,5.218810e-03
193,5.190817e-03
194,5.181898e-03
195,5.104295e-03
196,5.178875e-03
197,5.142818e-03
198,5.141683e-03
199,5.156557e-03
200,5.091322e-03
201,5.154959e-03
202,5.137250e-03
203,5.189329e-03
204,5.157872e-03
205,5.137876e-03
206,5.110865e-03
207,5.125804e-03
208,5.101289e-03
209,5.096408e-03
210,5.031731e-03
211,5.133217e-03
212,5.065210e-03
213,5.096425e-03
214,5.048438e-03
215,5.067355e-03
216,4.985176e-03
217,5.021772e-03
218,5.033711e-03
219,5.025476e-03
220,4.991255e-03
221,4.971337e-03
222,4.984349e-03
223,4.993508e-03
224,4.978247e-03
225,4.962233e-03
226,4.972218e-03
227,5.052526e-03
228,4.955172e-03
229,4.927952e-03
230,4.981298e-03
231,4.960572e-03
232,4.901637e-03
233,4.966304e-03
234,4.943560e-03
235,4.948510e-03
236,4.904461e-03
237,4.917188e-03
238,4.956312e-03
239,4.913616e-03
240,4.904253e-03
241,4.969926e-03
242,4.987189e-03
243,4.913244e-03
244,4.944020e-03
245,4.936153e-03
246,4.908264e-03
247,4.870007e-03
248,4.888659e-03
249,4.875452e-03
250,4.933810e-03
