epoch,knn_accuracy_train,knn_accuracy_test
50,4.189918e-01,1.897321e-01
100,4.973648e-01,2.645089e-01
150,5.673673e-01,3.482143e-01
200,6.143663e-01,4.040179e-01
250,6.322235e-01,4.352679e-01
300,6.321615e-01,4.084821e-01
