epoch,knn_accuracy_train,knn_accuracy_test
50,3.676835e-01,1.339286e-01
100,4.534970e-01,2.243304e-01
150,4.767175e-01,2.399554e-01
200,4.986359e-01,2.734375e-01
250,5.158730e-01,2.566964e-01
300,5.186012e-01,2.689732e-01
