epoch,knn_accuracy_train,knn_accuracy_test
50,4.331287e-01,2.131696e-01
100,5.011471e-01,2.700893e-01
150,5.428757e-01,2.957589e-01
200,5.644221e-01,3.270089e-01
250,5.785590e-01,3.314732e-01
300,5.781560e-01,3.426339e-01
