epoch,loss,variance
1,2.143195e-02,-0.000000e+00
2,2.044769e-02,-0.000000e+00
3,1.910071e-02,-0.000000e+00
4,1.732279e-02,-0.000000e+00
5,1.415913e-02,-0.000000e+00
6,1.145913e-02,-0.000000e+00
7,9.630538e-03,-0.000000e+00
8,8.002061e-03,-0.000000e+00
9,7.157325e-03,-0.000000e+00
10,6.649660e-03,-0.000000e+00
11,6.478541e-03,-0.000000e+00
12,6.183530e-03,-0.000000e+00
13,6.003340e-03,-0.000000e+00
14,5.946570e-03,-0.000000e+00
15,5.934655e-03,-0.000000e+00
16,6.107722e-03,-0.000000e+00
17,6.218261e-03,-0.000000e+00
18,6.265557e-03,-0.000000e+00
19,6.305942e-03,-0.000000e+00
20,6.329510e-03,-0.000000e+00
21,6.387315e-03,-0.000000e+00
22,6.364114e-03,-0.000000e+00
23,6.159475e-03,-0.000000e+00
24,6.222017e-03,-0.000000e+00
25,6.225746e-03,-0.000000e+00
26,6.059482e-03,-0.000000e+00
27,6.168284e-03,-0.000000e+00
28,6.149749e-03,-0.000000e+00
29,6.219758e-03,-0.000000e+00
30,6.269401e-03,-0.000000e+00
31,6.244736e-03,-0.000000e+00
32,6.179944e-03,-0.000000e+00
33,6.191983e-03,-0.000000e+00
34,6.065391e-03,-0.000000e+00
35,6.076824e-03,-0.000000e+00
36,6.041069e-03,-0.000000e+00
37,5.963121e-03,-0.000000e+00
38,6.062761e-03,-0.000000e+00
39,6.012932e-03,-0.000000e+00
40,6.027239e-03,-0.000000e+00
41,6.012900e-03,-0.000000e+00
42,5.860879e-03,-0.000000e+00
43,5.592628e-03,-0.000000e+00
44,5.599794e-03,-0.000000e+00
45,5.590925e-03,-0.000000e+00
46,5.576081e-03,-0.000000e+00
47,5.460302e-03,-0.000000e+00
48,5.475016e-03,-0.000000e+00
49,5.315165e-03,-0.000000e+00
50,5.249163e-03,-0.000000e+00
51,5.266425e-03,-0.000000e+00
52,5.091359e-03,-0.000000e+00
53,5.029602e-03,-0.000000e+00
54,5.029013e-03,-0.000000e+00
55,5.124507e-03,-0.000000e+00
56,5.056863e-03,-0.000000e+00
57,5.060200e-03,-0.000000e+00
58,5.091865e-03,-0.000000e+00
59,5.042136e-03,-0.000000e+00
60,5.014786e-03,-0.000000e+00
61,5.013636e-03,-0.000000e+00
62,5.044693e-03,-0.000000e+00
63,5.065512e-03,-0.000000e+00
64,5.057513e-03,-0.000000e+00
65,5.148978e-03,-0.000000e+00
66,5.170153e-03,-0.000000e+00
67,5.028587e-03,-0.000000e+00
68,5.088560e-03,-0.000000e+00
69,5.226274e-03,-0.000000e+00
70,5.122546e-03,-0.000000e+00
71,5.186173e-03,-0.000000e+00
72,5.187002e-03,-0.000000e+00
73,5.161032e-03,-0.000000e+00
74,5.160807e-03,-0.000000e+00
75,5.121989e-03,-0.000000e+00
76,5.189507e-03,-0.000000e+00
77,5.191692e-03,-0.000000e+00
78,5.255006e-03,-0.000000e+00
79,5.296252e-03,-0.000000e+00
80,5.232813e-03,-0.000000e+00
81,5.218260e-03,-0.000000e+00
82,5.192595e-03,-0.000000e+00
83,5.296703e-03,-0.000000e+00
84,5.278912e-03,-0.000000e+00
85,5.263461e-03,-0.000000e+00
86,5.330006e-03,-0.000000e+00
87,5.319201e-03,-0.000000e+00
88,5.379142e-03,-0.000000e+00
89,5.455363e-03,-0.000000e+00
90,5.557986e-03,-0.000000e+00
91,5.592977e-03,-0.000000e+00
92,5.636606e-03,-0.000000e+00
93,5.686544e-03,-0.000000e+00
94,5.674247e-03,-0.000000e+00
95,5.767681e-03,-0.000000e+00
96,5.826059e-03,-0.000000e+00
97,5.804770e-03,-0.000000e+00
98,5.925197e-03,-0.000000e+00
99,5.969440e-03,-0.000000e+00
100,6.088375e-03,-0.000000e+00
101,6.104622e-03,-0.000000e+00
102,6.196565e-03,-0.000000e+00
103,6.118215e-03,-0.000000e+00
104,6.198819e-03,-0.000000e+00
105,6.199148e-03,-0.000000e+00
106,6.202797e-03,-0.000000e+00
107,6.243170e-03,-0.000000e+00
108,6.386288e-03,-0.000000e+00
109,6.399525e-03,-0.000000e+00
110,6.353827e-03,-0.000000e+00
111,6.526120e-03,-0.000000e+00
112,6.489634e-03,-0.000000e+00
113,6.485026e-03,-0.000000e+00
114,6.665689e-03,-0.000000e+00
115,6.813375e-03,-0.000000e+00
116,6.859227e-03,-0.000000e+00
117,6.852541e-03,-0.000000e+00
118,6.908151e-03,-0.000000e+00
119,7.007056e-03,-0.000000e+00
120,7.084716e-03,-0.000000e+00
121,7.200207e-03,-0.000000e+00
122,7.225804e-03,-0.000000e+00
123,7.140051e-03,-0.000000e+00
124,7.404249e-03,-0.000000e+00
125,7.389469e-03,-0.000000e+00
126,7.344834e-03,-0.000000e+00
127,7.398912e-03,-0.000000e+00
128,7.522270e-03,-0.000000e+00
129,7.513555e-03,-0.000000e+00
130,7.694490e-03,-0.000000e+00
131,7.790552e-03,-0.000000e+00
132,7.905260e-03,-0.000000e+00
133,7.952708e-03,-0.000000e+00
134,7.919841e-03,-0.000000e+00
135,8.034269e-03,-0.000000e+00
136,8.077614e-03,-0.000000e+00
137,8.178429e-03,-0.000000e+00
138,8.461034e-03,-0.000000e+00
139,8.238968e-03,-0.000000e+00
140,8.090834e-03,-0.000000e+00
141,8.410211e-03,-0.000000e+00
142,8.360461e-03,-0.000000e+00
