epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
epoch,itr,L2,PKT,L2_PKT,L2_PKT_scaled,PKT_full
1,0,4.865471e-01,9.090559e-03,4.956376e-01,1.395603e+00,2.643320e-06
1,0,4.865471e-01,9.090559e-03,4.956376e-01,1.395603e+00,2.643320e-06
1,1,3.935896e-01,9.251269e-03,4.028409e-01,1.318716e+00,2.346429e-06
1,1,3.935896e-01,9.251269e-03,4.028409e-01,1.318716e+00,2.346429e-06
1,2,3.517847e-01,9.973457e-03,3.617582e-01,1.349130e+00,2.308991e-06
1,2,3.517847e-01,9.973457e-03,3.617582e-01,1.349130e+00,2.308991e-06
1,3,3.269454e-01,8.068319e-03,3.350137e-01,1.133777e+00,1.977926e-06
1,3,3.269454e-01,8.068319e-03,3.350137e-01,1.133777e+00,1.977926e-06
1,4,3.082278e-01,9.085183e-03,3.173130e-01,1.216746e+00,2.200115e-06
1,4,3.082278e-01,9.085183e-03,3.173130e-01,1.216746e+00,2.200115e-06
1,5,2.967902e-01,7.445003e-03,3.042353e-01,1.041291e+00,2.104591e-06
1,5,2.967902e-01,7.445003e-03,3.042353e-01,1.041291e+00,2.104591e-06
1,6,2.801881e-01,7.596555e-03,2.877846e-01,1.039844e+00,1.900344e-06
1,6,2.801881e-01,7.596555e-03,2.877846e-01,1.039844e+00,1.900344e-06
1,7,2.634036e-01,7.836351e-03,2.712399e-01,1.047039e+00,1.942540e-06
1,7,2.634036e-01,7.836351e-03,2.712399e-01,1.047039e+00,1.942540e-06
1,8,2.576895e-01,6.899510e-03,2.645890e-01,9.476405e-01,1.734629e-06
1,8,2.576895e-01,6.899510e-03,2.645890e-01,9.476405e-01,1.734629e-06
1,9,2.439679e-01,8.270871e-03,2.522388e-01,1.071055e+00,2.040726e-06
1,9,2.439679e-01,8.270871e-03,2.522388e-01,1.071055e+00,2.040726e-06
1,10,2.403926e-01,8.518794e-03,2.489114e-01,1.092272e+00,2.235804e-06
1,10,2.403926e-01,8.518794e-03,2.489114e-01,1.092272e+00,2.235804e-06
1,11,2.289079e-01,7.740823e-03,2.366487e-01,1.002990e+00,2.210571e-06
1,11,2.289079e-01,7.740823e-03,2.366487e-01,1.002990e+00,2.210571e-06
1,12,2.221687e-01,8.301534e-03,2.304703e-01,1.052322e+00,2.020053e-06
1,12,2.221687e-01,8.301534e-03,2.304703e-01,1.052322e+00,2.020053e-06
1,13,2.165759e-01,7.047419e-03,2.236233e-01,9.213178e-01,1.743995e-06
1,13,2.165759e-01,7.047419e-03,2.236233e-01,9.213178e-01,1.743995e-06
1,14,2.103893e-01,6.912292e-03,2.173016e-01,9.016185e-01,2.004348e-06
1,14,2.103893e-01,6.912292e-03,2.173016e-01,9.016185e-01,2.004348e-06
1,15,2.059869e-01,8.271685e-03,2.142586e-01,1.033155e+00,2.078624e-06
1,15,2.059869e-01,8.271685e-03,2.142586e-01,1.033155e+00,2.078624e-06
1,16,1.978591e-01,7.087423e-03,2.049465e-01,9.066014e-01,1.830964e-06
1,16,1.978591e-01,7.087423e-03,2.049465e-01,9.066014e-01,1.830964e-06
1,17,1.918711e-01,5.844770e-03,1.977159e-01,7.763481e-01,1.700740e-06
1,17,1.918711e-01,5.844770e-03,1.977159e-01,7.763481e-01,1.700740e-06
1,18,1.874795e-01,8.067929e-03,1.955474e-01,9.942724e-01,2.013830e-06
1,18,1.874795e-01,8.067929e-03,1.955474e-01,9.942724e-01,2.013830e-06
1,19,1.802204e-01,6.470999e-03,1.866914e-01,8.273203e-01,1.791030e-06
1,19,1.802204e-01,6.470999e-03,1.866914e-01,8.273203e-01,1.791030e-06
1,20,1.768295e-01,6.607477e-03,1.834370e-01,8.375772e-01,2.154835e-06
1,20,1.768295e-01,6.607477e-03,1.834370e-01,8.375772e-01,2.154835e-06
1,21,1.734035e-01,6.831971e-03,1.802355e-01,8.566006e-01,1.939816e-06
1,21,1.734035e-01,6.831971e-03,1.802355e-01,8.566006e-01,1.939816e-06
1,22,1.704600e-01,7.434879e-03,1.778949e-01,9.139479e-01,2.202704e-06
1,22,1.704600e-01,7.434879e-03,1.778949e-01,9.139479e-01,2.202704e-06
1,23,1.681805e-01,5.628017e-03,1.738085e-01,7.309822e-01,1.667178e-06
1,23,1.681805e-01,5.628017e-03,1.738085e-01,7.309822e-01,1.667178e-06
1,24,1.594330e-01,5.116631e-03,1.645496e-01,6.710961e-01,1.654567e-06
1,24,1.594330e-01,5.116631e-03,1.645496e-01,6.710961e-01,1.654567e-06
1,25,1.634046e-01,5.750094e-03,1.691547e-01,7.384140e-01,1.616742e-06
1,25,1.634046e-01,5.750094e-03,1.691547e-01,7.384140e-01,1.616742e-06
1,26,1.521424e-01,4.949046e-03,1.570915e-01,6.470470e-01,1.537326e-06
1,26,1.521424e-01,4.949046e-03,1.570915e-01,6.470470e-01,1.537326e-06
1,27,1.639152e-01,7.744741e-03,1.716599e-01,9.383893e-01,2.332185e-06
1,27,1.639152e-01,7.744741e-03,1.716599e-01,9.383893e-01,2.332185e-06
1,28,1.500540e-01,7.565028e-03,1.576191e-01,9.065568e-01,2.240483e-06
1,28,1.500540e-01,7.565028e-03,1.576191e-01,9.065568e-01,2.240483e-06
1,29,1.414495e-01,6.625785e-03,1.480753e-01,8.040280e-01,2.126780e-06
1,29,1.414495e-01,6.625785e-03,1.480753e-01,8.040280e-01,2.126780e-06
1,30,1.436528e-01,6.780395e-03,1.504332e-01,8.216922e-01,1.980954e-06
1,30,1.436528e-01,6.780395e-03,1.504332e-01,8.216922e-01,1.980954e-06
1,31,1.357065e-01,6.802188e-03,1.425087e-01,8.159253e-01,2.545607e-06
1,31,1.357065e-01,6.802188e-03,1.425087e-01,8.159253e-01,2.545607e-06
1,32,1.331664e-01,5.855565e-03,1.390219e-01,7.187229e-01,2.084689e-06
1,32,1.331664e-01,5.855565e-03,1.390219e-01,7.187229e-01,2.084689e-06
1,33,1.312052e-01,7.538733e-03,1.387440e-01,8.850785e-01,2.432007e-06
1,33,1.312052e-01,7.538733e-03,1.387440e-01,8.850785e-01,2.432007e-06
