epoch,knn_accuracy_train,knn_accuracy_test
10,5.817529e-01,4.246667e-01
20,6.005747e-01,4.260000e-01
30,5.945402e-01,4.246667e-01
40,5.793103e-01,4.020000e-01
50,5.795977e-01,3.953333e-01
60,5.850575e-01,4.373333e-01
70,6.045977e-01,4.300000e-01
80,5.943966e-01,4.340000e-01
90,5.985632e-01,4.520000e-01
100,5.939655e-01,4.206667e-01
110,5.964080e-01,4.346667e-01
120,5.895115e-01,4.300000e-01
130,5.971264e-01,4.546667e-01
140,5.942529e-01,4.420000e-01
150,5.956897e-01,4.333333e-01
160,6.063218e-01,4.446667e-01
170,6.061782e-01,4.626667e-01
180,6.076149e-01,4.593333e-01
190,6.140805e-01,4.520000e-01
200,6.132184e-01,4.433333e-01
210,6.173851e-01,4.600000e-01
220,6.178161e-01,4.640000e-01
230,6.150862e-01,4.493333e-01
240,6.114943e-01,4.720000e-01
250,6.116379e-01,4.680000e-01
260,6.135057e-01,4.700000e-01
270,6.068966e-01,4.573333e-01
280,6.248563e-01,4.480000e-01
290,6.191092e-01,4.533333e-01
300,6.206897e-01,4.480000e-01
