epoch,loss
1,1.637855e-01
2,1.134725e-01
3,9.815310e-02
4,8.340949e-02
5,6.702186e-02
6,5.414325e-02
7,4.635755e-02
8,4.215308e-02
9,4.113301e-02
10,3.937773e-02
11,4.227032e-02
12,4.382495e-02
13,4.771094e-02
14,5.198167e-02
15,5.644278e-02
16,6.048832e-02
17,6.600561e-02
18,7.040865e-02
19,7.423034e-02
20,7.900237e-02
21,8.280368e-02
22,8.537932e-02
23,8.781926e-02
24,8.927438e-02
25,9.336937e-02
26,9.527834e-02
27,9.676494e-02
28,9.969102e-02
29,1.028877e-01
30,1.042438e-01
31,1.045585e-01
32,1.059456e-01
33,1.072808e-01
34,1.076585e-01
35,1.088951e-01
36,1.113994e-01
37,1.094445e-01
38,1.099300e-01
39,1.116160e-01
40,1.090659e-01
41,1.105099e-01
42,1.101327e-01
43,1.079156e-01
44,1.079329e-01
45,1.091564e-01
46,1.074255e-01
47,1.064680e-01
48,1.079054e-01
49,1.072634e-01
50,1.057907e-01
51,1.049228e-01
52,1.052911e-01
53,1.044830e-01
54,1.051514e-01
55,1.048974e-01
56,1.037616e-01
57,1.037345e-01
58,1.033480e-01
59,1.018136e-01
60,1.008586e-01
61,9.965649e-02
62,9.928433e-02
63,1.013462e-01
64,9.842833e-02
65,9.784598e-02
66,9.622161e-02
67,9.588043e-02
68,9.533915e-02
69,9.518765e-02
70,9.454434e-02
71,9.534680e-02
72,9.431734e-02
73,9.294416e-02
74,9.229704e-02
75,9.130922e-02
76,9.185494e-02
77,9.000564e-02
78,9.044350e-02
79,9.030528e-02
80,8.980961e-02
81,8.962667e-02
82,8.947009e-02
83,8.911440e-02
84,8.935745e-02
85,8.849085e-02
86,8.875314e-02
87,8.729064e-02
88,8.669315e-02
89,8.705420e-02
90,8.642858e-02
91,8.640946e-02
92,8.623340e-02
93,8.857081e-02
94,9.332689e-02
95,8.491739e-02
96,8.361649e-02
97,8.365312e-02
98,8.314632e-02
99,8.248548e-02
100,8.283862e-02
101,8.266823e-02
102,8.308649e-02
103,8.356675e-02
104,8.427871e-02
105,8.400502e-02
106,8.474273e-02
107,8.444488e-02
108,8.437463e-02
109,8.500259e-02
110,8.519219e-02
111,8.473989e-02
112,8.589959e-02
113,8.615540e-02
114,8.626529e-02
115,8.707928e-02
116,8.726474e-02
117,8.761138e-02
118,8.784237e-02
119,8.760113e-02
120,8.961465e-02
121,8.986977e-02
122,8.963322e-02
123,9.007173e-02
124,9.085732e-02
125,9.076480e-02
126,9.010971e-02
127,8.995457e-02
