epoch,train_accuracy,val_accuracy,loss,time
1,4.24113e-01,5.83000e-01,1.26749e-02,2.18
2,5.76742e-01,5.97000e-01,1.15113e-02,2.10
3,5.99758e-01,5.98000e-01,1.13501e-02,2.32
4,6.10517e-01,6.12667e-01,1.12609e-02,2.23
5,6.14365e-01,6.14667e-01,1.12074e-02,2.39
6,6.15078e-01,6.18333e-01,1.12048e-02,2.17
7,6.20493e-01,6.16667e-01,1.11584e-02,2.33
8,6.24768e-01,6.17333e-01,1.11385e-02,2.34
9,6.21277e-01,6.18667e-01,1.11396e-02,2.20
10,6.29115e-01,6.19667e-01,1.10995e-02,2.14
11,6.29614e-01,6.15000e-01,1.10868e-02,2.30
12,6.28189e-01,6.15667e-01,1.10793e-02,2.17
13,6.30896e-01,6.19667e-01,1.10659e-02,2.37
14,6.32036e-01,6.23667e-01,1.10560e-02,2.28
15,6.30896e-01,6.20333e-01,1.10650e-02,2.14
16,6.33319e-01,6.25333e-01,1.10396e-02,2.01
17,6.33604e-01,6.24667e-01,1.10362e-02,2.09
18,6.35528e-01,6.22000e-01,1.10351e-02,2.46
19,6.50135e-01,6.70333e-01,1.09120e-02,2.08
20,6.74291e-01,6.85333e-01,1.07223e-02,2.04
21,6.83483e-01,6.74667e-01,1.06621e-02,2.13
22,6.86832e-01,6.88000e-01,1.06243e-02,2.36
23,6.90110e-01,6.88667e-01,1.05986e-02,2.34
24,6.92889e-01,6.93667e-01,1.05923e-02,2.22
25,6.94599e-01,6.92667e-01,1.05725e-02,2.24
26,6.94813e-01,6.91667e-01,1.05632e-02,2.07
27,6.96594e-01,6.93667e-01,1.05579e-02,2.30
28,6.97307e-01,7.00000e-01,1.05634e-02,2.24
29,6.98447e-01,6.95333e-01,1.05274e-02,2.23
30,7.00941e-01,6.97000e-01,1.05254e-02,2.17
31,7.00798e-01,6.95333e-01,1.05308e-02,2.33
32,7.00371e-01,6.98333e-01,1.05223e-02,2.28
33,6.99800e-01,6.93667e-01,1.05384e-02,2.17
34,7.05358e-01,7.00333e-01,1.04866e-02,2.03
35,7.03506e-01,6.93667e-01,1.05122e-02,2.32
36,7.04432e-01,7.03667e-01,1.04973e-02,2.32
37,7.03791e-01,7.03000e-01,1.04984e-02,2.10
38,7.05145e-01,7.03667e-01,1.04881e-02,2.29
39,7.04290e-01,7.03000e-01,1.04791e-02,2.38
40,7.05287e-01,7.03333e-01,1.04914e-02,2.17
41,7.06997e-01,6.96667e-01,1.04850e-02,2.06
42,7.10703e-01,7.02333e-01,1.04570e-02,2.12
43,7.06356e-01,7.05667e-01,1.04723e-02,2.06
44,7.05857e-01,7.01333e-01,1.04839e-02,1.97
45,7.08565e-01,7.04333e-01,1.04675e-02,2.23
46,7.11985e-01,7.03667e-01,1.04374e-02,2.16
47,7.10489e-01,7.05333e-01,1.04435e-02,2.24
48,7.11914e-01,6.99667e-01,1.04418e-02,2.23
49,7.12840e-01,7.05000e-01,1.04452e-02,2.19
50,7.10204e-01,7.06000e-01,1.04334e-02,2.19
51,7.12413e-01,7.07667e-01,1.04401e-02,1.98
52,7.13980e-01,7.07667e-01,1.04119e-02,2.15
53,7.15833e-01,7.10333e-01,1.04110e-02,2.03
54,7.15263e-01,7.05667e-01,1.04221e-02,1.97
55,7.11914e-01,7.04667e-01,1.04258e-02,1.98
56,7.12270e-01,7.08667e-01,1.04405e-02,2.04
57,7.14194e-01,7.05667e-01,1.04198e-02,2.31
58,7.11629e-01,7.09667e-01,1.04384e-02,2.29
59,7.13268e-01,7.09333e-01,1.04238e-02,2.31
60,7.12484e-01,7.07333e-01,1.04330e-02,2.40
61,7.12769e-01,7.10667e-01,1.04135e-02,2.40
62,7.13268e-01,7.16333e-01,1.04221e-02,2.27
63,7.12056e-01,7.16667e-01,1.04260e-02,2.10
64,7.14693e-01,7.11667e-01,1.04216e-02,2.14
65,7.12912e-01,7.13000e-01,1.04118e-02,2.20
66,7.14408e-01,7.10000e-01,1.04132e-02,2.34
