pretrain_checkpoint_epoch,knn_accuracy_train,knn_accuracy_test
10,4.47661e-01,1.85000e-01
100,5.91184e-01,3.58760e-01
20,4.92787e-01,2.34040e-01
30,5.12751e-01,2.56140e-01
40,5.37033e-01,2.87520e-01
