epoch,knn_accuracy_train,knn_accuracy_test
50,4.239831e-01,1.741071e-01
100,5.326141e-01,2.912946e-01
150,6.029266e-01,3.928571e-01
200,6.481275e-01,4.542411e-01
250,6.753782e-01,4.810268e-01
300,6.805246e-01,4.765625e-01
