epoch,loss
1,1.345136e-01
2,4.466204e-02
3,4.450984e-02
4,4.458438e-02
5,4.166653e-02
6,4.199336e-02
7,3.894337e-02
8,3.674156e-02
9,3.539784e-02
10,3.529492e-02
11,3.551375e-02
12,3.617504e-02
13,3.718733e-02
14,3.877811e-02
15,4.110641e-02
16,4.313242e-02
17,4.735376e-02
18,5.062489e-02
19,5.428201e-02
20,5.768091e-02
21,6.236946e-02
22,6.634122e-02
23,7.019876e-02
24,7.408089e-02
25,7.860304e-02
26,8.311587e-02
27,8.676502e-02
28,8.946586e-02
29,9.262252e-02
30,9.538034e-02
31,9.790046e-02
32,1.016085e-01
33,1.031967e-01
34,1.060252e-01
35,1.082105e-01
36,1.098819e-01
37,1.117004e-01
38,1.127708e-01
39,1.143187e-01
40,1.160912e-01
41,1.161270e-01
42,1.179347e-01
43,1.177926e-01
44,1.188205e-01
45,1.198199e-01
46,1.199892e-01
47,1.208013e-01
48,1.208882e-01
49,1.216362e-01
50,1.218258e-01
51,1.218885e-01
52,1.223794e-01
53,1.222501e-01
54,1.229957e-01
55,1.232279e-01
56,1.220922e-01
57,1.225852e-01
58,1.227193e-01
59,1.230777e-01
60,1.230846e-01
61,1.229655e-01
62,1.220632e-01
63,1.223388e-01
64,1.222399e-01
65,1.223721e-01
66,1.222586e-01
67,1.218768e-01
68,1.217751e-01
69,1.214716e-01
70,1.207604e-01
71,1.206330e-01
72,1.199996e-01
73,1.201014e-01
74,1.203509e-01
75,1.201335e-01
