epoch,knn_accuracy_train,knn_accuracy_test
50,4.263393e-01,1.919643e-01
100,5.089596e-01,2.912946e-01
150,5.649182e-01,3.147321e-01
200,5.961372e-01,3.839286e-01
250,6.169705e-01,3.761161e-01
300,6.167535e-01,3.716518e-01
