epoch,knn_accuracy
50,2.569444e-01
100,4.331597e-01
150,4.843750e-01
200,5.008681e-01
250,5.086806e-01
300,5.338542e-01
350,5.156250e-01
400,5.217014e-01
450,4.861111e-01
500,4.878472e-01
550,4.409722e-01
600,4.548611e-01
