epoch,knn_accuracy_train,knn_accuracy_test
20,5.781250e-01,3.727134e-01
40,5.757212e-01,3.795732e-01
60,5.897436e-01,3.762703e-01
80,5.917468e-01,3.600102e-01
100,5.865385e-01,3.567073e-01
120,6.005609e-01,3.793191e-01
140,5.877404e-01,3.833841e-01
160,5.981571e-01,3.755081e-01
180,5.877404e-01,3.739837e-01
200,5.897436e-01,3.783028e-01
220,5.761218e-01,3.696646e-01
240,5.801282e-01,3.734756e-01
260,6.093750e-01,3.767785e-01
280,5.965545e-01,3.864329e-01
300,6.017628e-01,3.930386e-01
320,6.145833e-01,3.948171e-01
340,6.254006e-01,3.955793e-01
360,6.205929e-01,4.042175e-01
380,6.205929e-01,4.227642e-01
400,6.450321e-01,4.364837e-01
420,6.510417e-01,4.425813e-01
440,6.550481e-01,4.496951e-01
460,6.494391e-01,4.471545e-01
480,6.594551e-01,4.629065e-01
500,6.550481e-01,4.723069e-01
