epoch,knn_accuracy_train,knn_accuracy_test
50,3.286520e-01,1.083984e-01
100,3.510045e-01,1.201172e-01
150,3.777902e-01,1.416016e-01
200,3.978485e-01,1.601562e-01
250,4.023438e-01,1.630859e-01
300,4.166667e-01,1.689453e-01
350,4.219680e-01,1.962891e-01
400,4.250062e-01,1.787109e-01
450,4.323847e-01,2.050781e-01
500,4.402902e-01,2.197266e-01
550,4.376240e-01,2.031250e-01
600,4.299355e-01,2.031250e-01
