corruption_ratio,PKT_all_clean_mean,PKT_all_corrupted_mean,PKT_all_abs_delta_mean,PKT_all_rel_delta_mean,PKT_all_rel_delta_median,PKT_all_rel_delta_p95,PKT_all_rel_delta_p99,PKT_corrupted_only_abs_delta_mean,PKT_corrupted_only_abs_delta_median,PKT_corrupted_only_abs_delta_p95,PKT_corrupted_only_abs_delta_p99,PKT_corrupted_only_rel_delta_mean,PKT_corrupted_only_rel_delta_median,PKT_corrupted_only_rel_delta_p95,PKT_corrupted_only_rel_delta_p99,PKT_num_patches,PKT_num_corrupted_patches
0.0,5.793521687564862e-06,5.793521687564862e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444416,0
0.05,5.793521687564862e-06,6.950778567897942e-06,1.1572568803330796e-06,0.28800942286849024,0.16566293261945247,0.3660209320485592,4.607107183933258,1.088333460074864e-05,7.664223800247782e-06,3.526400645569083e-05,4.840752638301638e-05,2.7307891392707826,1.7385053485631943,8.898962931632996,13.565993647575379,444416,22234
0.1,5.793521687564862e-06,8.088281363143324e-06,2.2947596539779623e-06,0.5686634850502014,0.3461500971019268,1.850072529911995,6.724813573360443,1.1181206971286884e-05,8.039564131649967e-06,3.507003802042164e-05,4.8373181325587214e-05,2.790397371053696,1.848411923646927,8.73170201778412,13.258250288963318,444416,44460
0.2,5.793521687564862e-06,1.0168560438614804e-05,4.375038794250941e-06,1.0945189061760903,0.7272415801882743,3.9994798696041105,8.653478510379792,1.142519873155834e-05,8.711719428902143e-06,3.371124248587876e-05,4.694165144428553e-05,2.8970160841941834,2.029652356505394,8.65746631860733,13.136447787284851,444416,88870
0.3,5.793521687564862e-06,1.2018279956009791e-05,6.224758290045429e-06,1.5614880949258805,1.1228172287344933,5.143547732830047,9.588077864646912,1.1644568473911932e-05,9.210704752149467e-06,3.237355587316415e-05,4.482354771425889e-05,2.9691754674911497,2.1998304569721223,8.450450253486633,12.917725353240966,444416,133338
