epoch,knn_accuracy_train,knn_accuracy_test
20,5.877404e-01,3.978659e-01
40,6.025641e-01,4.199695e-01
60,5.989583e-01,3.945630e-01
80,6.001603e-01,3.793191e-01
100,5.937500e-01,3.762703e-01
120,5.993590e-01,3.775407e-01
140,5.949519e-01,4.024390e-01
160,6.189904e-01,3.958333e-01
180,6.121795e-01,4.100610e-01
200,6.105769e-01,4.021850e-01
220,6.245994e-01,4.128557e-01
240,6.217949e-01,4.217480e-01
260,6.221955e-01,4.296240e-01
280,6.374199e-01,4.235264e-01
300,6.402244e-01,4.448679e-01
320,6.402244e-01,4.578252e-01
340,6.522436e-01,4.441057e-01
360,6.554487e-01,4.674797e-01
380,6.754808e-01,4.547764e-01
400,6.698718e-01,4.743394e-01
420,6.598558e-01,4.852642e-01
440,6.782853e-01,4.738313e-01
460,6.610577e-01,4.834858e-01
480,6.758814e-01,4.865346e-01
500,6.682692e-01,4.845020e-01
