epoch,knn_accuracy_train,knn_accuracy_test
50,4.333457e-01,1.918403e-01
100,5.328311e-01,3.116319e-01
150,5.912698e-01,3.706597e-01
200,6.358197e-01,4.166667e-01
250,6.493676e-01,4.479167e-01
300,6.476314e-01,4.531250e-01
